datum,strategi,vinst_förlust,7_rätt,6_rätt,5_rätt
2017-09-03,arit100,-90.0,0,0,3
2017-09-03,cat2,-126.0,0,3,39
2017-09-03,xgb2,-320.0,0,0,2
2017-09-09,arit100,-42.0,0,0,2
2017-09-09,cat2,220.0,0,1,14
2017-09-09,xgb2,-310.5,0,0,1
2017-09-10,arit100,-72.0,0,0,0
2017-09-10,cat2,-337.5,0,0,0
2017-09-10,xgb2,-360.0,0,0,0
2017-09-16,arit100,-90.0,0,0,0
2017-09-16,cat2,-337.5,0,0,0
2017-09-16,xgb2,-324.0,0,0,0
2017-09-23,arit100,-65.0,0,0,1
2017-09-23,cat2,-243.0,0,0,3
2017-09-23,xgb2,-288.0,0,0,0
2017-09-30,arit100,-72.0,0,0,6
2017-09-30,cat2,-273.0,0,3,42
2017-09-30,xgb2,-360.0,0,0,0
2017-10-01,arit100,-26.0,0,0,1
2017-10-01,cat2,216.0,0,0,9
2017-10-01,xgb2,-288.0,0,0,0
2017-10-07,arit100,-96.0,0,0,0
2017-10-07,cat2,-360.0,0,0,0
2017-10-07,xgb2,-300.0,0,0,0
2017-10-14,arit100,-90.0,0,0,0
2017-10-14,cat2,-222.0,0,3,39
2017-10-14,xgb2,-300.0,0,0,25
2017-10-21,arit100,-80.0,0,0,0
2017-10-21,cat2,-68.0,0,0,4
2017-10-21,xgb2,-360.0,0,0,0
2017-10-28,arit100,-72.0,0,0,0
2017-10-28,cat2,-324.0,0,0,0
2017-10-28,xgb2,-320.0,0,0,0
2017-10-29,arit100,-96.0,0,0,8
2017-10-29,cat2,-345.0,0,1,14
2017-10-29,xgb2,-360.0,0,0,16
2017-11-04,arit100,-90.0,0,0,0
2017-11-04,cat2,-233.0,0,0,1
2017-11-04,xgb2,-324.0,0,0,0
2017-11-11,arit100,-100.0,0,0,0
2017-11-11,cat2,-12.0,0,0,4
2017-11-11,xgb2,-360.0,0,0,0
2017-11-12,arit100,-84.0,0,0,0
2017-11-12,cat2,-337.5,0,0,0
2017-11-12,xgb2,-315.0,0,0,0
2017-11-18,arit100,-90.0,0,0,0
2017-11-18,cat2,-198.0,0,0,3
2017-11-18,xgb2,-320.0,0,0,0
2017-11-25,arit100,-96.0,0,0,0
2017-11-25,cat2,-288.0,0,0,0
2017-11-25,xgb2,-360.0,0,0,0
2017-11-26,arit100,-96.0,0,0,0
2017-11-26,cat2,-320.0,0,0,4
2017-11-26,xgb2,-360.0,0,0,4
2017-12-02,arit100,-90.0,0,0,0
2017-12-02,cat2,-255.0,0,0,5
2017-12-02,xgb2,-324.0,0,0,0
2017-12-09,arit100,-72.0,0,0,0
2017-12-09,cat2,-360.0,0,0,15
2017-12-09,xgb2,-360.0,0,0,0
2017-12-16,arit100,-72.0,0,0,0
2017-12-16,cat2,1092.0,0,4,56
2017-12-16,xgb2,-219.0,0,0,3
2017-12-23,arit100,115.5,0,0,3
2017-12-23,cat2,-55.0,0,0,5
2017-12-23,xgb2,-210.0,0,0,0
2017-12-25,arit100,-80.0,0,0,0
2017-12-25,cat2,-256.0,0,0,0
2017-12-25,xgb2,-360.0,0,0,0
2017-12-26,arit100,-96.0,0,0,0
2017-12-26,cat2,-360.0,0,0,0
2017-12-26,xgb2,-300.0,0,0,0
2017-12-27,arit100,-81.0,0,0,0
2017-12-27,cat2,-288.0,0,0,12
2017-12-27,xgb2,-300.0,0,0,0
2017-12-28,arit100,-90.0,0,0,1
2017-12-28,cat2,-335.0,0,1,14
2017-12-28,xgb2,-336.0,0,0,0
2017-12-29,arit100,-72.0,0,0,0
2017-12-29,cat2,-288.0,0,0,0
2017-12-29,xgb2,-360.0,0,0,0
2017-12-30,arit100,-96.0,0,0,0
2017-12-30,cat2,-360.0,0,0,0
2017-12-30,xgb2,-360.0,0,0,0
2017-12-31,arit100,-67.5,0,0,0
2017-12-31,cat2,-288.0,0,0,0
2017-12-31,xgb2,-337.5,0,0,0
2018-01-06,arit100,-81.0,0,0,0
2018-01-06,cat2,-324.0,0,0,0
2018-01-06,xgb2,-360.0,0,0,0
2018-01-13,arit100,-72.0,0,0,0
2018-01-13,cat2,-207.0,0,1,14
2018-01-13,xgb2,-360.0,0,0,0
2018-01-20,arit100,-24.0,0,3,33
2018-01-20,cat2,-204.0,0,3,42
2018-01-20,xgb2,-272.0,0,4,56
2018-01-27,arit100,-63.0,0,1,12
2018-01-27,cat2,3424.0,1,13,73
2018-01-27,xgb2,-283.0,0,1,17
2018-01-28,arit100,-54.0,0,0,0
2018-01-28,cat2,-81.0,0,3,42
2018-01-28,xgb2,-360.0,0,0,1
2018-02-03,arit100,-84.0,0,0,4
2018-02-03,cat2,-360.0,0,0,16
2018-02-03,xgb2,-320.0,0,0,4
2018-02-10,arit100,-96.0,0,0,0
2018-02-10,cat2,-288.0,0,0,3
2018-02-10,xgb2,-360.0,0,0,0
2018-02-17,arit100,-80.0,0,0,0
2018-02-17,cat2,-120.0,0,0,4
2018-02-17,xgb2,-288.0,0,0,0
2018-02-24,arit100,-96.0,0,0,0
2018-02-24,cat2,-324.0,0,0,0
2018-02-24,xgb2,-360.0,0,0,0
2018-02-25,arit100,-96.0,0,0,0
2018-02-25,cat2,-337.5,0,0,0
2018-02-25,xgb2,-360.0,0,0,0
2018-03-03,arit100,-90.0,0,0,0
2018-03-03,cat2,-360.0,0,0,0
2018-03-03,xgb2,-360.0,0,0,0
2018-03-10,arit100,-72.0,0,0,0
2018-03-10,cat2,-360.0,0,0,4
2018-03-10,xgb2,-360.0,0,0,0
2018-03-17,arit100,-96.0,0,0,2
2018-03-17,cat2,-102.0,0,6,84
2018-03-17,xgb2,-360.0,0,0,4
2018-03-24,arit100,-72.0,0,0,0
2018-03-24,cat2,-294.0,0,0,3
2018-03-24,xgb2,-232.0,0,0,4
2018-03-29,arit100,-90.0,0,1,12
2018-03-29,cat2,278.0,1,14,76
